817	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
822	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
830	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
835	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
840	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
845	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
850	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
855	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
860	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
865	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
870	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
876	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
881	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
892	0.00000251	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
897	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
905	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
910	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
915	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
920	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
925	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
930	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
935	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
940	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
945	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
951	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
956	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
961	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
972	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
977	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
982	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
990	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
995	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1000	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1005	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1010	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1015	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1020	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1025	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1030	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1036	0.00000223	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
1041	0.00000196	ntvdm.exe	IRP_MJ_READ	Serial1	SUCCESS	Length 1: 30 	
